不负年华不负心,现在是2019-1-2，这一年，一定要坚持下去！,5.0
光光凉凉,能不能慢慢慢点，像机关枪一样。,4.0
mooc66606406161859189,语速太快，先念理论知识，后举例子，听不懂,1.0
学海有鱼可以吃,20系列的王道计算机课程中，操作系统和计算机网络是质量最好的，两位学长学姐对这两门课都有自己的深刻认识，讲的很生动、很形象、很具体，非常容易理解，真正是做到了很好的新手友好性。对于跨考的朋友，在第一次学习这两门课的时候，就可以结合课本直接看王道的视频讲解，而不需要再找其他课程，比起看书自学效率要高很多。但组成原理和数据结构则稍显逊色，对于纯新手，建议要想理解弄通这两门课背后的原理，还是得结合慕课平台上其他大学的公开课学习一遍。,4.0
香香mooc163,希望能够坚持坚持坚持,4.0
三角小可爱s,一直在念ppt，机关枪一样，个别讲题的大哥说话磕磕巴巴你让我怎么听？,1.0
浅笑www,我一定要坚持下去，加油,5.0
mooc1532944982413,讲解思路能听懂就是讲题的两个老师一个声音特别大一个声音特别小遇到声音小的我就需要把声音调的特别大跳到下一题的时候换声音大的老师很容易把人吓到,3.0
SongKingOne,希望我可以不虚此行，王道加油！！！,5.0
Lily学英语001,在王道论坛潜水这么久，一直特别相信。希望慕课考研上的课程也能不负初心，让我考研成功。,5.0
zutlj201719044123李文波,哈哈，我是21考研的，买成20的了，在录视频,5.0
mooc1488271471775,习题讲解很好，可以满分知识讲解中许多知识点讲解没有达到预期。一定量的视频中长时间空泛谈论，导致无法学习,3.0
Da_ming_ge,坐等开课。,5.0
时光凉mooc,来了来了哦,5.0
Lily学英语003,其实慕课也超~棒的！以前在慕课看过别的课程，觉得讲的很有意思OVO希望这个课也能让我一看到底不玩手机！,5.0
Lily学英语002,数据结构这一块平心而论还是不太容易的，报班也是为了更好的安排和督促自己。王道的课有学长一直推荐，之前看了也觉得很棒。希望能帮我考上吧、,5.0
Rudolf1998,挺不错的。,5.0
qhu-1600802051,谢谢，还不错呀,4.0
mooc80842140766591970,跟念课文一样,2.0
Erich_Hartmann,用笔指一指画一画啊，就像最后几节课那样，不然老师的内心操作系统全靠猜？,3.0
林晓必,数据结构希望可以更加讲的通俗易懂。有些难懂的内容就嘴巴说说，需要反复看才能懂,5.0
研究生蚝,二战的，总体说，比去年讲的更加详细，知识点和技巧都提及了，比较系统,4.0
好好学习学,真的很不错鸭,5.0
丶mooc180,感觉挺好的呢,5.0
萌上大人,老师讲的很生动，棒棒,5.0
