羽翼0星辰,姥姥的数据结构MOOC可以说是我在中M见过的难度最高的几个课之一（其实我是很想把之一去掉的，但是话不能说的太死），每周都有几道非常难的编程难题，每次做的时候我都在想这真不愧是浙大，不过，话说回来，真想学数据结构的话，还是应该来听姥姥的课。毕竟有难度的练习对自身能力的提升才更有效。,5.0
jerry010201163com,for(inti=0;i<10000;i)printf("讲的太好了！！！\n");,5.0
SunHanxi,考研成功~~~姥姥真棒~~~,5.0
GuYz,两位教授讲的课非常好，至少是我在MOOC以及各大网络学习平台上上过的最好的课之一。看过之后对我整体提升非常有价值，谢谢网易提供这么好的一个良心的平台给我们方便优质地进行网络学习，谢谢浙江大学，谢谢两位教授！,5.0
活力男孩,姥姥讲得灰常好，，不知道慕课和浙大真实的数据结构课堂有什么区别？：）,5.0
chopchop,好的大学没有围墙,5.0
mooc1500718884391,本人FDU化学系的渣，希望能有助于我从化学转方向去大数据。,5.0
滴滴大大大,我是个专科生，学校没有开相关方面的课程，直到在大一下半年去参加ACM浙江赛区的时候，我才直到数据结构，虽然在平时敲代码的时候有用到这些东西，但是没有经过系统的学习，还是有些迷茫的地方。感谢陈姥姥，何教授的教导。,5.0
llllss,.。。一开始我还以为自己跟不上，认为救我一个人跟不上节奏，后来才发现不只是我一个，我想对第一次学这门课的同学说啊，跟不上，听不懂，太难别放弃，过两天继续听，我个人参加了第八次的数据结构课程，一路糊糊涂涂听过来，拿了个合格的证书，不过我想说姥姥这也太勤了吧，第八次刚结束，第九次课就来了，没办法，这个暑假接着把第九次课再学一遍，希望能把布置的编程题全部做完，也希望能拿个优秀，同时希望大二能拿个全国计算机程序大赛奖哈哈,5.0
Arthasmooc18,能不能早点开课。。。我假期时间多，开学时间就少了。,5.0
芒果菌zz,在酱的一个数据类型里，就像酱紫。,5.0
被吊打的学渣,还有人竟然只给两星？,5.0
好久不见mooc201,老师讲的很棒，祝我圆梦浙大,5.0
今朝有悔,老师，希望可不可以用java代码来实现呢？,5.0
言井mooc1,今天是三月一号为什么还显示有一天才开课啊？,5.0
肖--生工--02-菅昊羽,只有我一个人觉得课后编程题和老师讲的根本不在一个难度级别吗QAQ一杯茶一包烟一道链表写一天,5.0
mooc79651060236539478,机械专业转cs，看完翁恺的c就看了这个，觉得看起来没什么压力，没想到难度其实还挺大，这下心里美滋滋。,5.0
要留学的小香菇,喜欢陈越老师，能表白吗～课超级好,5.0
BIT1120170462,距离开课还有43天，好期待！！！,5.0
SEU-研54班-九-184470-刘鹏,浙大数据结构吃透了贼靠谱。。,5.0
hpu_计科合_361709010216_何志铧,其中有错误，PPT有的都做错了，说的话也有错的，误人子弟！,1.0
mooc48810466155448294,垃圾，照本宣科念需要你干嘛，可悲的是中国大学的很多老师也是这样！,1.0
