九月雏菊,看到陈越姥姥微博安利过来的，大四生再来听一次(⁎⁍̴̛ᴗ⁍̴̛⁎),5.0
星星在夜空里闪,我是看见王卓老师来的，太喜欢B站上王老师讲的数据结构基础了，非常详细，期待开课,5.0
稳暖,B站来的，再巩固下,5.0
解新峰,受益匪浅！可能受传统教材讲解思路的禁锢，对部分概念、语法等的理解比较循规蹈矩。通过听周老师的讲解，虽然仅仅是两次打基础的课，但对相关概念和语法，有了全新的，更准确，更深入的理解。,5.0
ssssstarrrrrrr,14级老油条来给强哥打call,5.0
m178542825751,哇(σﾟ∀ﾟ)σ毕业了还能再听到周强老师的课真是太幸福了。,5.0
我要学习了哦,老师讲课内容丰富，讲课方式新颖，学的懂，听的会，很有趣,5.0
小炙舞,周老师的声音好听，讲的细致，好想当他的嫡系学生！,5.0
mooc69796138352603703,周老师辛苦了，讲的特别好，声音也跟耐听,5.0
Datacruiser,非常好非常好，继续加油,5.0
mooc37858825130041798,讲课通俗易懂,5.0
Chaoesluol,多种语言对比，深入底层，很精彩,5.0
xyc_Stephen,实用性较强！,5.0
小狼吼吼,非常需要这样的课！,5.0
buttercupsy163com,老师程序功底很深,5.0
sidneyren163com,用三种语言来介绍数据结构还是蛮新鲜的。,5.0
onethirdwechat,老师讲解得比较基础和细致，很好。,5.0
华福建,在比较中把握各语言的共性与异性，也能更突出算法思想数据结构的重要性,5.0
风之逆鳞,课程听起来挺有意思，知识点讲的也很透彻，但是感觉每一种语言都讲的话有点过多耗费老师的精力，学生一般也就是学习一种语言。老师可以放开一点，不用拘束，平时上课怎么样就怎么样就挺好的。,5.0
Nemomooc190,老师超棒哒(๑>؂<๑）,5.0
自动化1801向钊,内容很新，讲解很详细具体，收获很大！,5.0
射狮射虎射天狼1991,必须要安利,5.0
Adam1011,毕业后来学习了,5.0
陈儒怡,支持支持，巩固基础,5.0
SLSAMG,路过来支持一下，棒棒哒,5.0
棉被里没有夏天,为周强老师打call,5.0
mooc1981231021194859,讲的很好啊,5.0
铖铖ykt78962043030391778,老师讲得不错,5.0
冰山上的来客mooc6,挺好的！！！,5.0
dong89,给了4种主流语言的讲解，很棒！,4.0
