Eastwood37,厉害，老师讲得棒的嘛就不谈了,10分
yipp,数据结构讲的思路很清晰，逻辑性强。,10分
weixin_Allan_0,,10分
有无上涯,,10分
坚持2016,不错,10分
Kuang9,,10分
Finit,,10分
蜂之谷,挺好,10分
XA4,,10分
qq_因人而异_2,,10分
ldm4221762,厉害啊,10分
dky,,10分
Js_Ly,老师讲的就是好,10分
绝非善类,非常好，主讲人水平很高,10分
慕粉3320974,真的是很舒服的一次听课 希望老师多出视频,10分
ziom,很有趣，回头找时间去实现一下,10分
慕粉3687032,非常好，主讲人水平很高,10分
RaphetS丶,非常棒,10分
小河马么么哒,很实用,10分
晴天轻云,每一节都是精华，知识丰富、调理清晰！,10分
qq_FlyFlowerGod_0,好东西学习了,10分
sunshinesunshine,,10分
itdaodan,数据接口有点迷糊，其他挺容易懂，正好要用，再研究下,10分
偶然看到,必须满分啊！！！
差距，赤裸裸的差距，，,10分
wuzi,逻辑清晰，易懂,10分
船长与柴郡猫,,10分
楚天_sina_,内容完整，有帮助（看最后一节课视频最后一段，即可了解能有哪些收获）。,10分
qq_天边丶的云_0,很牛，给力,10分
qq_朗如风_1,真给力！,10分
道具合成,代码写的好6！,10分
feels_chaotic,,10分
ella_huo,老师讲的很好，很有条理性，而且连扩展应用也有讲到，很受益,10分
Damon_hmz,,10分
ShaCoder,,10分
shenjay01,老师讲的真的很好 思路很清晰 没有多余的讲解 继续跟着学习。,10分
水儿岐,讲的很好,10分
