iFlowers,逻辑结构有点复杂，而且全局变量定义太多容易造成内存开销，后续维护的话成本很大，不过感谢老师的付出。,8分
牛奶老哥哥,算法方面还是有些薄弱，路还远。
源代码：https://github.com/MrZWH/Gobang-with-AI,10分
lmmusus,讲的很清晰，很容易懂。而且整体学下来还算是可以接受的程度,10分
wingle,有一丝感觉，还需要仔细琢磨；但是这个算法很容易猜到机器的棋路。,10分
慕娘0571032,AI篇好多地方还是不清楚，数据结构设计是重中之重，但是还是说是AI感觉有些牵强，另外前后端还是要有分工吧之前以为AI篇是要后端来实现呢,10分
snfdf1,谢谢，老师您辛苦了^_^,10分
风傲天,很好！希望多出教程！老师，辛苦了！,10分
慕粉0936228369,可以！很容易就理解了！,10分
ali是个小太阳,很好！希望多出教程！老师，辛苦了！,10分
绿静風,谢谢，老师您辛苦了^_^,10分
Zinky,,10分
qq_活动小丑_03311444,无恶意。。\x3C\x73\x63\x72\x69\x70\x74\x3E\x61\x6C\x65\x72\x74\x28\x27\x70\x6F\x72\x75\x69\x6E\x27\x29\x3C\x2F\x73\x63\x72\x69\x70\x74\x3E,10分
小国图志,老师的课程信息量很大，不过花了那么多精力学好，却发现这么复杂的算法实现的ai还是很弱智，不敢想象象棋围棋的算法要达到什么样的复杂程度。,10分
创心,逻辑清晰， 30分钟课程学通恐怕至少要20+小时。,10分
Meave,不错，不过还是需要自己好好琢磨一下,10分
坚持2016,不错,8分
jee3,,8分
qq_你瘦该你拽_0,还需要下来思考思考，细细琢磨一番，谢谢老师,10分
超级无敌可爱的美少女,,10分
风中打伞的小孩,,10分
韩棠,,10分
天蓝色转身,,10分
qq_Lhw_03741193,,10分
Terry_Young,通俗易懂的，简易的算法,8分
wrongcode,,10分
尼麻麻的麦皮,---,10分
望逍遥,哎，赢不了啊。喜欢实战课，实战课一般都是收费的，给课程点赞,10分
小昊子,,10分
慕粉1112026831,超好玩！！！！,10分
何夜无月_何处无竹柏,好！喜欢这样的实战课程，感谢老师,10分
jackXu2017,收获很多，可以作为一个小项目,10分
慢l慢,,10分
Aimeeeee,老师很赞,10分
自由的气息,,10分
你说2016,自己写了一个，恩。。。然后一局都没赢,10分
Qbird0,非常好，谢谢老师,10分
qq_董旭_03663071,,10分
moocer9527,谢谢老师,10分
qq_过去的回忆_1,,10分
江户川秋风,,10分
与君初相识_犹如故人归,很好,10分
风之流动,,10分
qq_撸啊撸阿鲁_0,,10分
Finit,,10分
阳夕,好,10分
i文Vin,,10分
慕粉3709339,,6分
heroALone3342452,思路清晰，还是挺有收获的,10分
weibo_销魂冷孤_03576472,,10分
Kian_,,10分
qq_CM_9,可以的，虽然没懂,10分
零点零零一,好课好课好课,10分
路过的人1094,,10分
qqzhxl,,10分
_潇潇暮雨,非常不错啊,10分
kingHawkWin,,10分
蜂之谷,还行,8分
一叶追寻,,10分
初学Web3995664,烧脑的东西，需要反复学习,10分
瑜伽兔子,比较深奥,8分
weibo_孤独的行者是也_0,五星,10分
西兰花伟大炮,烧脑的东西，需要反复学习,10分
去看天荒地老,,10分
qq_demo_5,,10分
慕粉3849768,,10分
Must_so,,10分
haohao809,看了两遍，自己跟着敲了一遍，才理解。当时想出这种算法的是怎么想的？佩服。,8分
慕粉3895673,老师讲的很好，就是算法自己下去还得再看看,10分
qq_峰回路转_3,听老师讲的这个五子棋AI制作真的令我大开眼界，算法真的很巧秒,10分
Kurosaki,,10分
箭喜Video,不错，那么简短就说明了一个AI,8分
汉江怪人,,10分
stone310,,8分
日华,,10分
zeakhold,一般,6分
qq_Glinin_0,,10分
仙思,听懂了，很基础,10分
小懒猪zw,我觉得还挺不错的，能都学到东西,10分
望远,这就是AI啊，很有意思。,10分
fengshunsgit,很有意思的！,10分
灿烂满天星,不错不错,10分
MarlboroKay,,10分
LITTLEFAN,,10分
会唱歌的鱼,简洁易懂，算法需要自己多看几遍，就理解了,8分
qq_逝水年华_73693552,我还没有看js篇 但是思路清晰，操作简单   很赞,10分
未来开拓者,五星好评！！,10分
wewew,有点难度,10分
沉风chen,,10分
_是你_,数组都懵了,10分
慕粉3187274,确实不错，照着写完后，试玩了几次，最后终于赢了一次,10分
说不出的对白。,,10分
bright星芒,有点迷,10分
ronaldoBIG_123,,10分
风一般的男人,,10分
Deny_小田,,10分
lilipo,确实不错，照着写完后，试玩了几次，最后终于赢了一次。,10分
li_xiaomeng1988,,10分
小河马么么哒,挺好,10分
专注前端的全栈,看似简单，就是牛逼,10分
亹v亹,,10分
Coda,很棒的讲解，学到了很多知识，受益匪浅。,10分
大圣不捉妖,很有趣的一门课程,10分
super_mb,讲的很详细，也很有趣,10分
清0123,讲的很清晰，赞一个！,10分
帷中暮色,好棒，对于初学者来说，讲的非常详细,6分
Lorem,,10分
qq_青枣工作室_0,很好，期待更多课程。,10分
quincyye,提升js能力。有趣,10分
moonking,good good very good,8分
qq_16_0,不错不错,10分
MRSuper,好嗨。,10分
lynhao,,10分
watchfree,good!,10分
幻狐_Mirage,讲的非常详细，特别是算法。很好，原生态的算法剖析，非常赞,10分
晴书文文,听着有点蒙，可能是我对js还不是很了解,10分
Y_oung__,还需要时间去理解.挺好的.下不赢计算机...,8分
憨皮熊,有点难理解，努力学习中,10分
花易折,老师讲的很好，前端学习交流可以加QQ群：383075583,10分
keephungry,厉害 学到新东西了,10分
windsting999,非常棒的入门教学，没有陷入到整理代码的坑里，以直白的方式完成了整个教学过程，如果课程最后再有一个重构代码的部分就好了。,10分
codeFish,初步接触算法，还有更多的东西需要了解，这个视频开了个好头~,10分
root1024,hao,10分
