_潇潇暮雨,最后的例子强行使用了二分搜索树，这样真的好么,4分
Frank_Wu,课程源码在哪儿啊？？？,10分
onResult,挺不错的教程，可以实现,10分
EricSpiritFiber,对于二叉树的讲解还是很不错的，,10分
_fisher_man,服了老师了，讲课跳着讲,2分
qq_真到无法存在_fpsvLO,讲的思路很清晰 逻辑清楚,10分
xing_org1,不知道你懂了没有，反正学的时候我是懂了，现在来评论的时候我忘光了。。。,10分
搬砖码农,希望老师还能出其他数据结构算法的视频,8分
T3T哇呱,老师讲的很清晰，后面的例子也想试着做一做，想问一下：图片模板可以去哪里找到呢？,10分
徐锦杰,有点简单 期待后续课程,10分
hello夜鹰,讲的挺好，例子讲解的也特别细,10分
DOUBLEJ,讲得很好，课程设计很优秀，大家都需要学习一些优秀的程序和算法。,10分
weixin_没有个性的咸鱼_0,重新问下了一下，讲得很好,10分
weixin_veil_0,老师讲得挺好的 学二叉树的同时还弄懂了递归和怎么调试,10分
ali是个小太阳,很好！希望多出教程！老师，辛苦了！,10分
Glxe_ge,讲的不错，很有逻辑，条理清晰,8分
随便讲两句,本来很好的课程，可惜中间剪掉了关键的一部分，导致前后有一个小断层，希望能补上。,8分
__innocence,算法的视频在慕课网里很少，这门课做得很好了。我自己，针对二叉树的部分功能，把功能用代码实现了一遍，另外还使用了es6的方法去实现。https://github.com/beat-the-buzzer/binary-tree.git,10分
Sing丶,说得够详细！希望继续分享其他数据结构算法的视频,8分
MesopotamiazZ,非常不错非常不错非常不错非常不错,10分
幕容峰,666666,10分
坚持2016,不错,8分
lijiechenglu,,10分
AmySuo红红,下载代码,10分
Lalalalo,,10分
xue5hen,,10分
枫叶咚咚咚,前半部分很基础，讲的很细致。到小游戏部分的时候，数据结构似乎和前半部分不一样了，花了点功夫才弄明白，还是感谢老师，问答区很给力。,8分
SWMcalin,,10分
zc1019924515,,10分
qq_蜜蜂_4,,10分
qq_李红辉_0,挺好的,10分
DasiyOulu,老师水平没问题，但是该详细的地方不详细，该一语带过的地方在那浪费时间一个一个讲，本末倒置，重点分配不好，视频剪辑还有不连贯的地方，听课思路受影响。听完课最大收获是关于二叉树了解的更清晰了，学会了老师的递归思想，很高级。但是感觉这门课讲个一个半小时就差不多了，中间有一半时间是带着一个一个看二叉树，一个一个看断点，个人认为相同知识类型讲几个以后一语带过就好，不需要从头到尾一个一个看。,10分
newming,课程非常棒，老师讲的非常详细。说太基础的同学请往后看，这是一个讲算法课程，感觉对算法的思想很有提高,8分
AjaxSuccess,太基础了,8分
ideal_idiot,讲的很基础、很仔细。注意到了一些平时不会注意的细节。感谢。,10分
IT深水坑,,8分
慕码人3569980,讲的很好，只是我对递归算法不是太懂 听的略有迷糊,10分
AllySu,平常用的多吗/,10分
stone310,,10分
瑜伽兔子,,10分
交河故城飞,,10分
qq_demo_5,,10分
雪莉酱,,10分
乱舞的旋律,,10分
phper_linuxer,,10分
蜂之谷,,10分
Finit,,10分
