瑜伽兔子,老师辛苦了，做一个开源项目真的厉害了，谢谢,10分
天涯明月笙,老师辛苦了，做一个开源项目真的厉害了，谢谢,10分
ali是个小太阳,很好！希望多出教程！老师，辛苦了！,10分
jackXu2017,老师讲的很好，就是代码的内容有点快,10分
qq_石头_31,短，平，快的介绍很好，对我这样的初学者很有用，多谢老师讲解！！！,10分
天天_,本课程带你领略python全栈风貌！,10分
坚持2016,不错,8分
renpingjun,对于入门来说够了,10分
xyyyy318,,10分
June42,,10分
kant_14,,10分
weibo_radi2017_0,,10分
慕虎8305413,,10分
小明同学爱思考,,6分
慕粉3202573,还不错，对于入门来说够了，对开发流程的讲解还可以。,10分
JaysonLee,,10分
夜之光,,8分
兰陵萧萧笙,老师授之以渔，后面得靠自己钓鱼了,10分
qq_烟汐忆梦_03864762,,10分
Zmorn,,10分
phper_linuxer,,10分
慕神2303665,高屋建瓴，真心给Python学习搭建了一个骨架。也讲了获取资料的方法。超棒,10分
无所谓_0001,前端说得太多 python说的太少,6分
李慕青_,总体讲的不错，整个流程都串联的很好。上面开源的项目之后好好研读下。,10分
Sky青云,大概上说了一下全栈, 没有编码, 只是演示一下项目, 有点可惜,8分
孤独的小猪,老师讲的很好，并没有讲编码知识，但是对整个项目的流程，部署都有了简单的理解。,10分
guanglin,这算是对Flask开发流程的一个基本介绍吧，连入门都算不上，难怪课程名叫“初体验”。希望能推出关于Flask更详细的课程。,8分
格物致知丶,,10分
喵_17,觉得课程只是了解, 而不是入门, python\html\css\js 部分的概念重复的有点多, 其实如果忘了是可以看回前面的视频的, 而我觉得课程的重点flask部分讲的太少了, 希望老师能大致讲解一下flask框架如何使用, 并且演示一下使用flask框架做一个比较基础的后台, over,8分
weixin_Allan_0,可以学习结构，这个很有帮助。建议删除python基础部分，增加flask的内容。,8分
网络侦探,对于需要初步理解全栈概念的学习者还是挺有帮助的，可惜实战项目那里讲得太简略了。如果有后续专门讲那个开源项目的课程就好了。,8分
雪莉酱,,10分
Wesley_Yang,,8分
自由的气息,,10分
慧眼识天下,,10分
乱舞的旋律,,10分
蜂之谷,,10分
西兰花伟大炮,慕课出品，必属精品,10分
Finit,,10分
