qq_金风未动蝉先觉_0,感觉还行吧，python常用工具包都过了一下，大部分代码都能跟着实现，后续还要自己整理下,10分
热粥,课程真的讲得很棒，看过的那么多课程中，难得的又简洁又有深度，一句废话都没有，全是该有的知识点。,10分
驶向远方_0,相对于免费的课程讲的这个地步，已经很不错了，我在这里谢谢老师了,6分
weixin_慕慕9557215,我感觉很好呀，我一直在找此类的视频课程，终于找到了，新学习一门语言，可能最不清楚的就是什么代码解决什么问题，这一系列视频正好完美的解决了此类问题。可以当作工具书使用的，觉得很好，棒棒的！！！,10分
Archer_ll,相当不错啊，把数据分析用到的库都讲了一遍，虽然是浅尝辄止，不过货都很干很实用啊,10分
小码哥的freestyle,一般般吧 说得知识太散了。,6分
陈大隐,还行吧，有些比较难，总之谢谢老师啦,10分
林帅smida,谢谢这位老师  说真的 总体上讲的一般吧 不是特别清晰,8分
该来不来,我是刚懂python的基本编程，对python的应用还是很模糊，感觉课程帮助很大，课程是对python的应用和相应的module进行介绍：数据分析和深度学习。要面面俱到肯定是不可能，主要是一个梳理过程。

开始两节课的麦克风噪声有点大，导致差点弃了，不过第三节开始就好了，语速也可以，很实用，最后两节老师语速有点快了。需要私下对老师的操作过的程序再重复几遍。

总结：收获很大，不错的课程。,10分
qq_无事忙_1,前面讲的知识点大家觉都还可以接受，中期后面真的是在自己跟自己说话了。。。。说给谁听也不知道,2分
兔兔兔酱,入门，能帮助对每部分有个大致的最初了解。,8分
Wesley_Yang,入门了解一下。总体上有了一个大概的了解。,8分
解空居士,内容太多了，只能有个大概的总体了解，应该再对每个细分模块做具体讲解。谢谢老师，辛苦了。,10分
慕运维2085365,不清楚。。。。。。。。,4分
慕田峪3117015,比较泛的讲了各有什么用处,8分
Roiko,感觉有一些难，但是总体来说还是很不错的,10分
songtown,因为要学习数据分析所以看了这门课程，总体还不错，就是理解起来有点困难,8分
空城是我,觉得一般吧，不算教程吧。能够大致让你了解这些库能干什么，但是具体库、方法的用法什么的基本没讲。当入门了解性质的内容看还行。想要具体学习还是去找找别的资料吧。,10分
ali是个小太阳,很好！希望多出教程！老师，辛苦了！,10分
张风捷特烈,学完了，还不错，支持一下,10分
小明同学爱思考,Python数据分析-基础技术篇,8分
Silence_ZK,什么数据分析 ， 里面都是盲目敲代码，都不知道哪些参数是什么意思，怎么调整 ，而且讲的都是
下面这个链接分享的东西 ， 
https://www.cnblogs.com/zhizhan/p/5615947.html,4分
慕粉3310091,安装的是python 3，好多代码无法运行,8分
幕布斯7194170,对于入门来说，挺不错的,10分
Suspendz,觉得学习就是要解决是什么，为什么，怎么做。而这个课根本不讲是什么，也不讲为什么，直接上代码给你敲。。,6分
坚持2016,不错,8分
zzj199511,,8分
愤怒的软绵绵,这和看文档没啥区别 而且还没看文档快呢,4分
在水中飞,大概是因为是免费课程，很多内容都是敷衍了事，讲的不明不白不透彻,8分
weixin_大大_1,还可以,10分
Jaaan,,10分
生煎咸鱼,很不错的介绍。,10分
昨夜星辰2,有了一个大致的认识,找到了一定的方向,10分
慕设计2454008,,10分
weixin_sagdhdke1_0,讲解的非常好，非常适合入门的学习,8分
第7段材料,讲得挺好的,10分
daob,授人予渔，老师的精华是教我们工具的位置，不要在意其他的东西,10分
慕瓜7492577,这个课程正是我需要的，在还没有学习这些数据处理包之前，通过课程学习对这些包的主要内容有个大致了解，再去看书时会事半功倍,8分
攻城掠地,,8分
慕雪3368104,,8分
木予南,,6分
AzureA,,10分
phper_linuxer,,10分
慕粉1611059672,业界良心，还能说什么呢,8分
xungeer29,,10分
慕粉1343292,我是比较喜欢这种教学方法。老师告诉你这个工具做什么，然后在自己需要时就可以知道可以用什么方法解决，然后自己再查阅资料，进行深究。使用几个小时就可以让你对数据分析有一个大概认识。而且还是免费的。很良心的课程,10分
Finit,,10分
qq__675,讲的很烂，我很无语，这他妈是演示视频，不是教程,2分
likeke123,这位老师讲的整体来说还是不错的，10分的话我给老师7分，4分给在逻辑思路框架上，2分给在语言表达上，1分给在内容上。内容不多，但是框架还是有的，这个就需要自己私下填充和补充内容。这个视频我看了3遍。第一遍通看，知道真个框架，之后去百度搜索相关知识补充；第二遍，我边看边敲代码，边调试边运行；最后一遍，我有大致回顾了一下。总之，慕课网上的课程还是业界不错的。知识是自己主动获得，不是全靠他人馈赠，行胜于言。,10分
weixin_闫敏_0,讲的太浅了,8分
穆湼之魂,,10分
yourgod,讲的太浅了吧，，，，而且没有连贯性，可能是免费视频普遍的状况吧,10分
理论与实践,,6分
自由的气息,,10分
warren,,6分
潇潇v暮雨,内容涵盖的蛮全的，可惜有点快，有些函数记不住，对于用法也没有理解清楚。
再找资料补充学习吧，谢谢！,8分
JeffreyW_,优点：
内容丰富，讲解透彻，是一门很好的机器学习、数据分析的预备课程

缺点：
视频音质太差，有时候要反复听好几遍
所有方法都是草草带过，有时候连参数是干啥的都不讲,6分
Dazzz,,10分
雪莉酱,,10分
认知2017,视频剪辑非常好，讲解不是很细，很多参数都没有详细解释。。。,8分
慕粉2038411182,,8分
Ian_Morris,相当前言热门的领域，赞！,10分
乱舞的旋律,,8分
Evergreen1992,,10分
蜂之谷,,10分
