冷莅,内容极其简洁，所以理解非常容易，上手也很简单，然后再看书就顺一些了,10分
AYLM暗夜联盟,对于R语言的介绍模糊不清，没有讲解到循环，方法的定义也没交，课程顺序模糊不全，小白表示有时候完全听不懂,2分
闪耀一下下,对于小白的我来说，这门课程真的很棒。,10分
qq_慕妹2475916,对于完完全全的小白的我来说，这门课程真的很棒。,10分
小鱼儿wisdom6,太笼统，简洁的太少了吧。,4分
赫拉克勒斯_1,讲解的很清楚，真的好。,10分
慕移动8161993,确实非常不错，给老师笔芯,10分
慕尼黑1087231,讲的很好，老师声音很好听,10分
杜仲先生,感谢Angelayuan老师，上课全是重点，毫不拖拉，清晰易懂。
花了很长时间学习完了课程，受益匪浅，但是还是需要继续巩固多多实践呀！！！

PS：老师的声音很好听哇,10分
是木头呀,讲的很棒，很详细，框架思路都很清晰，从没接触过R，直接看这个打的基础。,10分
慕莱坞5103447,非常不错，五星好评！,10分
醉大侠,女神，我爱你，声音甜美,10分
松之果果,老师讲得太棒了，非常清晰，谢谢！！,6分
m1521102,非常感谢老师提供的课程！,10分
void_Jelly,非常友好的R萌新入门教程，老师的声音真的好动听，表白表白！！！,10分
qq_Young_91,感觉老师准备的很充分，不出错，还言简意赅。,10分
thrilling,非常好，通俗易懂，声音好听,10分
SummerSx,讲的很好,清晰,有逻辑.如果能再举些实际应用的例子就更好了. 总之,感谢老师的贡献.,10分
weixin_onionion_0,谢谢老师，讲授和例子都很清晰，边听边做很有收获。接下来用自己工作中的数据先试试做作业，成了继续学习中阶内容！！,10分
qq_木兮_5,,10分
慕尼黑9543412,,10分
weibo_jean2011世界_0,讲解详细，考虑周到,10分
慕虎8568639,满分,8分
慕婉清2372563,,10分
qq_雪雪_4,基础介绍的很不错,10分
幕布斯1211141,很清晰啊！比我上过的付费课程好多了，赞赞赞！,10分
郑可夫斯基,,10分
Sonia木习习,谢谢老师，讲的很仔细，声音也很好听嘻嘻,10分
宝慕林0113314,好,10分
黑猫大大,讲解简单易懂，有一些实战练习就更好了,10分
hgq90,很好！,10分
weixin_微笑_12,,10分
MrOcean,复习了一遍基础知识点,10分
qq_小黄鸭哒哒哒_0,非常基础易懂，谢谢,10分
qq_1197_0,讲解详细，考虑周到,10分
夜残影_0,老师的声音太好听了，听课就是享受啊,10分
