奶瓶子儿,课程逻辑清楚，讲解详细，值得推荐,10分
在水一方xym,老师说的很好通俗易懂，感谢老师。这是我整理的代码
https://xiongyiming.blog.csdn.net/article/details/100828853,10分
慕雪115381,老师讲的很好，感谢老师、,10分
慕虎3072334,课程很友好，老师也很有耐心,10分
慕勒4402125,继续加油，坚持不懈，谢谢老师,10分
夜木凝冰,讲的很好，不过内容是不是不够详细，栈和队列都没有用链表实现,8分
o0wzn0o,我觉得讲的很不错，作为入门初学很棒了,10分
不是很开心,讲的很好，不过内容是不是不够详细，栈和队列都没有用链表实现,10分
Carmel_Evans,讲的很好，不过内容是不是不够详细，栈和队列都没有用链表实现,10分
硅谷子丶,讲的很好，不过内容是不是不够详细，栈和队列都没有用链表实现,10分
清欢w,二进制和括号匹配算法不是特别好,6分
T松子,除了括号匹配，其他都听懂了，括号匹配有点晕，还得看！！！,10分
whitefuneral,老师讲解的很清楚, 代码跟着敲, 飞起来!,10分
瑜伽兔子,感谢老师精彩的讲解！,10分
我们爱了整整一个曾经,感谢老师精彩的讲解！,10分
慕兄7758,感谢老师精彩的讲解！,8分
梦里寒雪0,感谢老师精彩的讲解！,8分
可乐猫,感谢老师精彩的讲解！,10分
冬日里的飘雪,感谢老师精彩的讲解！,10分
weixin_木子_16,,10分
lahm,非常不错，总算学明白了,10分
meowZ,,10分
咖啡成瘾,,10分
qq_期待明天_0,,10分
去看天荒地老,,10分
weixin_刘杰_5,,10分
阿克蒙德,,10分
Dark黑暗,,10分
慕的地8223948,感谢老师精彩的讲解！,10分
坚持2016,不错,10分
showaichuan,不错,10分
遥远的遥,通俗移动，好喜欢，希望老师再继续跟新新的,10分
qq_爱睡觉实在是太好了_0,已经看过书本上的基础内容，跟着老师的思路打一遍代码加强记忆，很好。,10分
慕粉1617316290,不错不错，就是最后一个括号匹配有点过于依赖栈了，导致实现起来比较晦涩难懂，其实只要一个栈即可,10分
baby丨超超,,10分
attrans,不错的课程,10分
天空上的太阳,,10分
hlydx,一直看james的课，可能算是入了坑了吧。。,10分
武慕林,精彩之极，受益匪浅，老师讲的真的太好了,10分
进击的单纯,,10分
qq_HowHow_0,有了STL，这些都是基本入门了。我们需要模板时，基本可以不用重写了。,10分
天涯明月笙,谢谢老师，谢谢慕课网,10分
晨曦正好,,10分
不想取名字哟,,10分
咚咚咚咚锵,太有用了，深入了解一下栈的运行机制,10分
qq_fewf015,,10分
君主图灵,相见恨晚,8分
慕粉2049224468,最后有点没听懂,10分
缘茜行,大赞老师的课 希望再能出一些课程啊,10分
雪莉酱,,10分
wo_wml,必须满分啊！知识非常凝练实用！讲解细致不啰嗦！PPT质量非常高！,10分
黑夜残响,,10分
Finit,,10分
晚唱,,10分
蜂之谷,,10分
dengwenjieyear,讲的很好,10分
_荒岛小龙_,,10分
