在水一方xym,老师说的很好通俗易懂，感谢老师。这是我整理的代码 https://xiongyiming.blog.csdn.net/article/details/100619983,10分
慕虎3072334,课程很友好，老师也很有耐心,10分
慕勒4402125,一直从远征学到现在，继续加油,10分
夜木凝冰,讲的比较容易理解，思路也很清晰，易懂,8分
不是很开心,老师讲的非常棒，通俗易懂，队列的知识更明白了,10分
慕粉4170515,老师讲的非常棒，通俗易懂,10分
慕工程2598930,大学老师讲课用的ppt，不亲自动手敲代码，上课听得一头雾水，来到慕课网，这一小时就顶大学老师三四节课了，讲的很详细，通俗易懂，老师很棒！！！,10分
逆风枫韵,复习一遍，巩固知识，老师讲的很好,10分
算法请爱我emmm,还可以，很轻松地入了数据结构地大门（嘻嘻）,10分
智勇双全的智勇,20181215-20181216：上午11：45全部学完、笔记全部记完、代码全部自己敲了一遍；
虽然现在还不知道队列主要作用是什么，但是我充分复习、在以后的工作中一定会遇到的；
每一次看完、敲玩、记完来评论的时候都是我最开心和激动、骄傲的时候，发现我特别的努力和优秀；
好好看、好好学、还有几门课，应该也是很快就能看完、敲完、记完的
总之：
我太帅了！,10分
T松子,复习一遍，巩固知识，老师讲的很好,10分
qq_逐浪海豚_0,对于初学者的我来说，讲得条理清晰，易懂，很不错!!!,10分
o0wzn0o,一步一步带着写代码，非常棒！！,10分
_古道西风瘦喵Me_04212045,本来不理解的东西现在理解了，老师很棒,10分
cxwxlx,非常棒，很容易理解，把最核心的问题都讲清楚了。,10分
BruceOne,讲的非常好，有一点c++基础就能看懂，代码写得很清晰，适合数据结构入门。,10分
whitefuneral,老师讲解的很清楚, 但是这只是基础, 如果要扩展,可以继续看书,学完一门再看相应的教材,很有收获,10分
慕数据2549423,老师讲的特别好，从远征第一课听到现在，听完老师讲的再看教材，事半功倍，收获颇丰！感谢！希望老师能一直分享下去，这样的好老师给我再来一沓好吗！？  <手动滑稽脸>,10分
Mayby,很清楚，让我很清楚的认识了数据结构的队列,10分
刘威葳,让我很清楚的认识了数据结构的队列,10分
smallseapig,老师讲的非常好，第一次接触数据结构都能听懂大部分，直接带入门,10分
weixin_木子_16,讲的非常好，适合新手入门，如果有源代码打包下载就更好了,10分
慕兄7758,老师讲的很好，浅显易懂，循循善诱，谢谢老师,10分
可乐猫,老师讲的很好，浅显易懂，循循善诱，谢谢老师,10分
小田儿,我是学java的看着难度不大~,10分
Lonficer,希望老师做出更多优秀的课程，增加一些应用的讲解,10分
风曦,学数据结构前的暑假看的，感觉讲的挺好的,10分
冬日里的飘雪,很不错，，老师辛苦了！,10分
