东子_0001,不错不错，平常我们习惯造轮子，php本来自带的spl就提供了很多好的解决方案,10分
fengshunsgit,很不错，进阶知识，值得学习,10分
雪莉酱,,10分
坚持2016,实用,8分
0948丶,内容简单易懂,10分
搭上最后一班车,,8分
江户川秋风,很不错,10分
BigBangCode,不错,老师很耐心的,,10分
蜂之谷,还行,10分
Finit,,10分
西兰花伟大炮,要开校了，希望保持好状态,10分
阳夕,仍需温习！！！,10分
_小奕_,仍需温习！！！,10分
里昂不吃藕,,10分
里昂不吃藕,好,10分
里昂不吃藕,,10分
里昂不吃藕,,10分
里昂不吃藕,,10分
KevenHuang,很好的课程，能学到一些高端的知识！,10分
chiao3,给个like!!!,8分
Ego_echo,,10分
乱舞的旋律,,10分
slcheng,能多讲讲使用场景就更好了,10分
baijuguoxi,,10分
qq_青枣工作室_0,很好，期待更多课程。,10分
与梦想同行,以后再看先点赞~~,10分
闪无,,10分
sunshinesunshine,,10分
ducknight,,10分
esion,讲解的非常清晰，能让我快速上手运用到工作中！,10分
一只熊猫,很好，很实用，要用在项目中,10分
Derek_0006,讲的不错,10分
